Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
21-Aug-23,EQ,617,623.3,614.8,615.8,619.5,620.5,620.41,665.4,375.2,"95,80,365","5,94,37,23,319.55","1,60,367"
22-Aug-23,EQ,621.8,626.5,618.6,620.5,619.45,620.2,622.7,665.4,375.2,"85,34,395","5,31,43,60,611.05","1,19,046"
23-Aug-23,EQ,622.75,622.75,613.15,620.2,614.5,613.9,615.89,665.4,375.2,"82,48,333","5,08,01,04,176.50","1,32,089"
24-Aug-23,EQ,618,619,609.65,613.9,611.65,610.95,613.96,665.4,375.2,"70,96,025","4,35,66,94,947.50","1,26,558"
25-Aug-23,EQ,610.85,616.7,593.3,610.95,601.8,605.1,606.07,665.4,375.2,"1,60,75,509","9,74,29,24,758.50","2,24,142"
28-Aug-23,EQ,605.4,608.5,601.55,605.1,603,602.4,604.74,665.4,375.2,"74,79,254","4,52,30,34,713.60","1,36,397"
29-Aug-23,EQ,603.6,610.5,603.6,602.4,607.65,607.15,607.69,665.4,375.2,"69,56,667","4,22,74,70,423.75","1,08,463"
30-Aug-23,EQ,611.2,612.9,605,607.15,606.65,605.55,609.24,665.4,375.2,"56,76,055","3,45,81,00,346.70","1,10,514"
31-Aug-23,EQ,608.8,609.65,599.05,605.55,601.9,601,603.88,665.4,375.2,"1,05,44,271","6,36,74,65,563.95","1,49,603"
1-Sep-23,EQ,604.2,614.9,601.9,601,610.4,611.2,609.91,665.4,375.2,"1,02,97,492","6,28,05,25,718.10","1,82,015"
4-Sep-23,EQ,615.6,615.6,606,611.2,609.7,609,609.08,665.4,375.2,"83,92,665","5,11,17,87,835.65","1,73,185"
5-Sep-23,EQ,610,618.9,608.05,609,611.5,611.15,612.62,665.4,375.2,"85,60,651","5,24,44,47,608.85","1,31,391"
6-Sep-23,EQ,611.15,612.55,605.6,611.15,610.6,610.25,608.59,665.4,375.2,"65,20,064","3,96,80,67,590.80","1,42,267"
7-Sep-23,EQ,610.9,616.5,609.05,610.25,614.25,614.9,613.64,665.4,375.2,"65,20,293","4,00,11,37,081.85","1,12,863"
8-Sep-23,EQ,617.95,628.9,614.2,614.9,626.95,627.25,624.03,665.4,375.2,"1,61,90,749","10,10,34,72,512.75","2,06,605"
11-Sep-23,EQ,634.65,635.4,630.5,627.25,634.95,634.85,633.71,665.4,375.2,"87,80,510","5,56,42,59,558.20","2,01,674"
12-Sep-23,EQ,638,639,615.25,634.85,620.9,620.8,624.3,665.4,375.2,"1,25,41,377","7,82,95,99,452.25","2,38,844"
13-Sep-23,EQ,621,628.5,619.55,620.8,626,625.9,625.18,665.4,375.2,"69,88,358","4,36,89,76,331.95","1,41,594"
14-Sep-23,EQ,628.1,630.8,623.3,625.9,624.7,624.6,626.87,665.4,375.2,"57,22,295","3,58,71,28,293.10","1,38,280"
15-Sep-23,EQ,628.7,636.5,627.15,624.6,634.2,634.25,633.2,665.4,375.2,"1,89,17,805","11,97,87,50,794.85","2,50,637"
18-Sep-23,EQ,635.9,644.2,633.15,634.25,640.85,640.65,640.37,665.4,375.2,"1,11,08,349","7,11,35,01,339.10","1,77,581"
20-Sep-23,EQ,640.7,647,637,640.65,640,638.5,642.84,665.4,375.2,"1,17,77,925","7,57,12,71,157.35","2,11,433"
21-Sep-23,EQ,638.5,641.7,624,638.5,628.15,627.05,631.47,665.4,375.2,"92,66,854","5,85,17,65,688.55","2,02,887"
22-Sep-23,EQ,628,630.8,619,627.05,620.95,620.45,625.62,665.4,375.2,"65,51,917","4,09,90,25,027.30","1,50,697"
25-Sep-23,EQ,623.85,625.2,617.9,620.45,619,618.7,620.6,665.4,375.2,"63,90,681","3,96,60,82,058.55","1,30,903"
26-Sep-23,EQ,618.7,625.7,617.95,618.7,620,619.8,621.89,665.4,375.2,"62,71,108","3,89,99,41,784.00","1,24,821"
27-Sep-23,EQ,619.95,621.9,616.75,619.8,620.65,620.15,618.76,665.4,375.2,"59,60,490","3,68,81,30,393.20","1,49,016"
28-Sep-23,EQ,622.9,623.8,612.25,620.15,615,614.1,617.93,665.4,375.2,"67,68,196","4,18,22,92,216.30","1,34,821"
